Query	Reference	Core	Accessory
12673_8#27	12673_8#32	0.010170725	0.9900262
12673_8#27	12673_8#34	0.00961714	0.9900526
12673_8#27	12673_8#36	0.006099223	0.8707344
12673_8#27	12673_8#37	0.010493092	0.9900144
12673_8#27	12673_8#39	0.047302905	0.7274547
12673_8#27	12673_8#41	0.0055469484	0.86949676
12673_8#27	12673_8#42	0.0063105593	0.88538724
12673_8#27	12673_8#43	0.0058522765	0.8481536
12673_8#27	12754_4#66	0.005686972	0.87110686
12673_8#27	12754_4#68	0.0058636707	0.8823255
12673_8#27	12754_4#70	0.0058299005	0.8588663
12673_8#27	12754_4#71	0.049094822	0.76310873
12673_8#27	12754_4#73	0.009330185	0.99006504
12673_8#27	12754_4#74	0.00961201	0.990055
12673_8#28	12673_8#29	0.010088894	0.9900286
12673_8#28	12673_8#31	0.010133092	0.99002856
12673_8#28	12673_8#32	0.047872193	0.73043716
12673_8#28	12673_8#34	0.008159115	0.9901192
12673_8#28	12673_8#36	0.004659186	0.9511132
12673_8#28	12673_8#37	0.007686268	0.99014044
12673_8#28	12673_8#39	0.007436929	0.9901535
12673_8#28	12673_8#41	0.0051106666	0.9519597
12673_8#28	12673_8#42	0.007163516	0.9901613
12673_8#28	12673_8#43	0.046046965	0.7063846
12673_8#28	12754_4#66	0.0048570163	0.95590156
12673_8#28	12754_4#68	0.007128254	0.9901661
12673_8#28	12754_4#70	0.009379768	0.99005985
12673_8#28	12754_4#71	0.009824091	0.9900382
12673_8#28	12754_4#73	0.008203655	0.9901155
12673_8#28	12754_4#74	0.008780845	0.99008846
12673_8#29	12673_8#31	0.0	0.9579897
12673_8#29	12673_8#32	0.0050587514	0.85316145
12673_8#29	12673_8#34	0.010866347	0.98998904
12673_8#29	12673_8#36	0.008927152	0.99008
12673_8#29	12673_8#37	0.008853753	0.9900883
12673_8#29	12673_8#39	0.047379766	0.7439384
12673_8#29	12673_8#41	0.0	0.97141045
12673_8#29	12673_8#42	0.0042659882	0.8900028
12673_8#29	12673_8#43	0.009596635	0.9900484
12673_8#29	12754_4#66	0.0	0.956796
12673_8#29	12754_4#68	0.008776478	0.99008954
12673_8#29	12754_4#70	0.009554741	0.9900507
12673_8#29	12754_4#71	0.04833936	0.72384626
12673_8#29	12754_4#73	0.005737996	0.8642731
12673_8#29	12754_4#74	0.011746898	0.9899498
12673_8#31	12673_8#32	0.0066049313	0.887119
12673_8#31	12673_8#34	0.011475177	0.98996586
12673_8#31	12673_8#36	0.048887644	0.73780066
12673_8#31	12673_8#37	0.008172284	0.9901189
12673_8#31	12673_8#39	0.008217462	0.99011517
12673_8#31	12673_8#41	0.00022553175	0.97352713
12673_8#31	12673_8#42	0.0045764428	0.9091478
12673_8#31	12673_8#43	0.00880112	0.9900917
12673_8#31	12754_4#66	0.0	0.9627703
12673_8#31	12754_4#68	0.047862165	0.71936345
